"","Total Bags","Small Bags","Large Bags","XLarge Bags","Species"
"1",8696.87,8603.62,93.25,0,"Albany"
"2",9505.56,9408.07,97.49,0,"Albany"
"3",8145.35,8042.21,103.14,0,"Albany"
"4",5811.16,5677.4,133.76,0,"Albany"
"5",8205.66,7877.86,327.8,0,"Albany"
"6",10123.9,9866.27,257.63,0,"Albany"
"7",8756.75,8379.98,376.77,0,"Albany"
"8",6034.46,5888.87,145.59,0,"Albany"
"9",9267.36,8489.1,778.26,0,"Albany"
"10",9286.68,8665.19,621.49,0,"Albany"
"11",7990.1,7762.87,227.23,0,"Albany"
"12",10306.73,10218.93,87.8,0,"Albany"
"13",10880.36,10745.79,134.57,0,"Albany"
"14",10443.22,10297.68,145.54,0,"Albany"
"15",9225.89,9116.34,109.55,0,"Albany"
"16",11847.02,11768.52,78.5,0,"Albany"
"17",13192.69,13061.53,131.16,0,"Albany"
"18",11287.48,11103.49,183.99,0,"Albany"
"19",24431.9,24290.08,108.49,33.33,"Albany"
"20",29898.96,29663.19,235.77,0,"Albany"
"21",26662.08,26311.76,350.32,0,"Albany"
"22",21875.65,21662,213.65,0,"Albany"
"23",29002.59,28343.14,659.45,0,"Albany"
"24",22775.21,22314.99,460.22,0,"Albany"
"25",23681.01,23222.49,458.52,0,"Albany"
"26",29355.13,28761.81,593.32,0,"Albany"
"27",26657.44,26285.43,372.01,0,"Albany"
"28",16821.3,16535.55,285.75,0,"Albany"
"29",12570.51,12201.95,368.56,0,"Albany"
"30",12778.44,12076.83,701.61,0,"Albany"
"31",14301.92,13602.97,698.95,0,"Albany"
"32",17104.37,16438.49,665.88,0,"Albany"
"33",10728.94,9869.16,755.61,104.17,"Albany"
"34",7684.08,7208.49,475.59,0,"Albany"
"35",9749.66,9252.6,497.06,0,"Albany"
"36",10370.69,9989.59,381.1,0,"Albany"
"37",9181.99,8827.55,354.44,0,"Albany"
"38",9151.45,8986.06,165.39,0,"Albany"
"39",9379.54,9000.16,379.38,0,"Albany"
"40",10313.03,9979.87,333.16,0,"Albany"
"41",10621.54,10113.1,508.44,0,"Albany"
"42",9323.18,9170.82,152.36,0,"Albany"
"43",10845.82,10103.35,742.47,0,"Albany"
"44",11921.05,11651.09,269.96,0,"Albany"
"45",8424.77,8036.04,388.73,0,"Albany"
"46",9716.46,9186.93,529.53,0,"Albany"
"47",66354.31,48605.95,17748.36,0,"Atlanta"
"48",58797.87,46930.26,11867.61,0,"Atlanta"
"49",61545.31,38903.57,22628.21,13.53,"Atlanta"
"50",50690.04,37032.67,13654.66,2.71,"Atlanta"
"51",53794.68,33031.72,20738.55,24.41,"Atlanta"
"52",56382.08,36992.3,19389.78,0,"Atlanta"
"53",47046.48,33656.42,13390.06,0,"Atlanta"
"54",48628.65,35662.93,12941.12,24.6,"Atlanta"
"55",65398.38,39460.77,25929.39,8.22,"Atlanta"
"56",56751.46,31826.88,24924.58,0,"Atlanta"
"57",60339.19,36884.35,23454.84,0,"Atlanta"
"58",86294.11,41159.96,45134.15,0,"Atlanta"
"59",59460.41,14875.64,44584.77,0,"Atlanta"
"60",45662.3,20533.87,25125.65,2.78,"Atlanta"
"61",86201.96,33698.43,52442.25,61.28,"Atlanta"
"62",75983.02,46290.32,29678.76,13.94,"Atlanta"
"63",94436.19,49833.55,44549.67,52.97,"Atlanta"
"64",61281.24,47138.07,14112.5,30.67,"Atlanta"
"65",57418.09,45534.11,11883.98,0,"Atlanta"
"66",59216.9,45068.25,14148.65,0,"Atlanta"
"67",67472.2,45820.45,21568.48,83.27,"Atlanta"
"68",53888.32,42126.47,11720.3,41.55,"Atlanta"
"69",57210.66,45114.22,12096.44,0,"Atlanta"
"70",61292.37,45099.87,16192.5,0,"Atlanta"
"71",58303.85,46023.59,12280.26,0,"Atlanta"
"72",70560.49,50684.74,19851,24.75,"Atlanta"
"73",65342.19,52099.76,13108.03,134.4,"Atlanta"
"74",74542.11,55484.76,19010.81,46.54,"Atlanta"
"75",61261.44,48612.13,12578.28,71.03,"Atlanta"
"76",72290.28,50954.84,21329.99,5.45,"Atlanta"
"77",51735.02,40505.16,11199.95,29.91,"Atlanta"
"78",56539.87,33867,22651.15,21.72,"Atlanta"
"79",45392.29,33710.2,11682.09,0,"Atlanta"
"80",46668.26,34108.44,12559.82,0,"Atlanta"
"81",66181.63,32520.82,33660.81,0,"Atlanta"
"82",41511.84,31315.29,10196.55,0,"Atlanta"
"83",43342.6,29661.72,13680.88,0,"Atlanta"
"84",50884.32,25833.07,25051.25,0,"Atlanta"
"85",45037.12,28612.48,16289.92,134.72,"Atlanta"
"86",43780.25,29313.92,14466.33,0,"Atlanta"
"87",62275.1,40495.12,21766.54,13.44,"Atlanta"
"88",46575.23,34911.7,11625.94,37.59,"Atlanta"
"89",43241.42,33847.33,9394.09,0,"Atlanta"
"90",49456.96,32180.9,17273.38,2.68,"Atlanta"
